 Fxy_321 Fxy_32 Fxy_321_full_md
hbn_gra 4.20250795922224e-05 4.221351822631958e-05 6.908512854264061e-05
mos_gra 4.68983004697238e-05 4.707284456211253e-05 7.583895632427728e-05
gra_hbn 7.73194884189667e-05 7.747885976370835e-05 0.00012674413269229105
mos_hbn 9.116413075068605e-05 9.131590909765533e-05 0.0001286716825841946
gra_mos 0.0001120475893828397 0.00011193762889543194 0.00015961371354915985
hbn_mos 0.00017263928515520908 0.00017220293687066914 0.00016780734064398396
