2.61139 548.181
2.81139 115.205
2.91139 -3.13122
3.01139 -81.0283
3.11139 -130.313
3.21139 -159.63
3.31139 -175.063
3.41139 -180.886
3.51139 -180.269
3.61139 -175.471
3.71139 -168.035
3.81139 -159.027
3.91139 -149.225
4.11139 -129.236
4.61139 -85.0597
5.11139 -53.016
5.61139 -32.1188
6.11139 -19.9073
6.61139 -13.2261
7.11139 -9.44679
7.61139 -7.18485
8.11139 -5.69577
8.61139 -4.65253
9.11139 -3.81345
9.61139 -3.2011
10.1114 -2.69637
10.6114 -2.31494
11.1114 -2.01239
11.6114 -1.76037
16.6114 -0.712441
21.6114 -0.689195
26.6114 -0.779014
31.6114 -0.710598
36.6114 -0.694135
41.6114 -1.55319
