,z,height H1,height H2
126,126,3.1690538849,2.651046913
127,127,3.1644341135000005,2.6573664900000002
128,128,3.1537969886,2.6701140766000004
129,129,3.1397020482999993,2.6867260012
130,130,3.1265322397,2.7028026406000003
131,131,3.1192848834999998,2.7133195504000005
132,132,3.1207127646999995,2.7154915387000003
133,133,3.1291252387000004,2.7109723552
134,134,3.1398913341000005,2.7043530857
135,135,3.1484926962,2.7001095017000005
136,136,3.1520709584999995,2.7010540701999997
137,137,3.1496361147000007,2.7081280713999996
138,138,3.1419662854000006,2.7205033226000004
139,139,3.1315945367,2.7355976652999994
140,140,3.122583123,2.7493028837999995
141,141,3.1192082289,2.7573011693
142,142,3.1232980993999995,2.7577272542999998
143,143,3.1327285151,2.7526736393
144,144,3.1432313384999997,2.7463836135000004
145,145,3.1509899322,2.7426549581999997
146,146,3.1537390085999997,2.7437360460999995
147,147,3.1508309861,2.7502555295999995
148,148,3.1431306481000005,2.7613264567
149,149,3.1329903946999993,2.7745727632999992
150,150,3.1239755093,2.7864075739999996
151,151,3.1195802238,2.7933208403
152,152,3.1209511680000004,2.7941570819
153,153,3.1259759001000003,2.7910260391
154,154,3.1310836661000003,2.7875003694
155,155,3.1333093761999997,2.7865481019000002
156,156,3.1310357438,2.7897857758000004
157,157,3.1239735034999994,2.7974949242000005
158,158,3.1130506864000003,2.8087322956999996
159,159,3.1003516838000005,2.8213937347
160,160,3.0887844998,2.8325518354000003
161,161,3.0809035626999997,2.8396368489999997
162,162,3.0771926273000005,2.8421542393999997
163,163,3.0757841758999995,2.8419634275000005
164,164,3.0740633879,2.8416712731000002
165,165,3.0700691282,2.8432280989999996
166,166,3.0628677817999996,2.8475516863
167,167,3.0524637667,2.8546160286999998
168,168,3.0396900041000006,2.8635615382000004
169,169,3.0261170178,2.8727877612000006
170,170,3.0137154626000004,2.8802928801
171,171,3.0039498443,2.8845813888
172,172,2.9967768247,2.8856666740000003
173,173,2.9908348474999995,2.8848822644
174,174,2.9845821501000005,2.883744501
175,175,2.9770162884000007,2.8832336848
176,176,2.9677671463,2.8837022576000004
177,177,2.9569824671999996,2.8849896611999997
178,178,2.9452224914,2.8865265343999997
179,179,2.9333440445,2.8874483992
180,180,2.9222294732000003,2.8868644189
181,181,2.9123118102,2.8843308387999995
182,182,2.9033172075,2.8801091008000004
183,183,2.8946377413000004,2.874795204
184,184,2.8858235185999996,2.8688304684000006
185,185,2.8767102298000005,2.8623779402
186,186,2.8673291203,2.8554166066999995
187,187,2.8577893694000003,2.8478617562
188,188,2.8481656019,2.8396782760000003
189,189,2.8383695580999997,2.8310080579999997
190,190,2.8280555916,2.8222633825
191,191,2.8167722865999996,2.8139751314
192,192,2.804420834,2.80633629
193,193,2.7914747618,2.7989832498
194,194,2.7786872970000003,2.791285527
