,z,density water,density CO
0,0.0,50.3669358637345,0.0
1,0.20080321285140562,0.0,0.0
2,0.40160642570281124,0.0,0.0
3,0.6024096385542168,0.0,0.0
4,0.8032128514056225,0.0,0.0
5,1.0040160642570282,0.0,0.0
6,1.2048192771084336,0.0,0.0
7,1.4056224899598393,0.0,0.0
8,1.606425702811245,0.0,0.0
9,1.8072289156626506,0.00040989005028409475,0.0
10,2.0080321285140563,0.006150640642810495,0.0
11,2.208835341365462,0.025059395336782073,0.0
12,2.4096385542168672,0.05420693778708377,0.00012726146480067274
13,2.610441767068273,0.1799522512502399,0.008112918381042887
14,2.8112449799196786,1.031424960228448,0.05500876816009079
15,3.0120481927710845,2.8344889409844543,0.13543801391411595
16,3.21285140562249,3.596386472350325,0.09487342200890153
17,3.4136546184738954,2.909451665520194,0.10559520041835821
18,3.6144578313253013,1.8152466462691281,0.08755588778286284
19,3.8152610441767068,1.0991220099258123,0.08004746135962315
20,4.016064257028113,0.6905227898079209,0.06633503852735066
21,4.216867469879518,0.5028124543093209,0.044096097553433106
22,4.417670682730924,0.4187284133084858,0.02694761517154245
23,4.618473895582329,0.4022539066900593,0.019916419241305282
24,4.8192771084337345,0.3572611142240153,0.010499070846055501
25,5.020080321285141,0.42382839492908186,0.00025452292960134547
26,5.220883534136546,0.547210636777074,0.0
27,5.421686746987952,0.8606763746515637,0.0
28,5.622489959839357,1.4492542029095006,0.0
29,5.823293172690763,1.9762927546159368,0.0
30,6.024096385542169,2.114953695339937,0.0
31,6.224899598393574,1.7669005087534708,0.0
32,6.42570281124498,1.4295734765807389,0.0
33,6.626506024096385,1.150810053498226,0.0
34,6.827309236947791,0.9190716174144973,0.0
35,7.028112449799197,0.8611474206281118,0.0
36,7.228915662650603,0.930376160192433,0.0
37,7.429718875502008,0.9323035355311822,0.0
38,7.6305220883534135,0.9522842163600962,0.0
39,7.831325301204819,0.9345354251560911,0.0
40,8.032128514056225,0.9733642563250735,0.0
41,8.23293172690763,1.060827328882281,0.0
42,8.433734939759036,1.173380521719352,0.0
43,8.634538152610443,1.2750504413027,0.0
44,8.835341365461847,1.285470327893597,0.0
45,9.036144578313253,1.3032182490308222,0.0
46,9.236947791164658,1.2712285248555033,0.0
47,9.437751004016064,1.227150916789075,0.0
48,9.638554216867469,1.2315614097871446,0.0
49,9.839357429718875,1.0608367608150855,0.0
50,10.040160642570282,1.076457100612727,0.0
51,10.240963855421686,1.0051509191811876,0.0
52,10.441767068273093,0.9828572169310822,0.0
53,10.642570281124497,0.9550251936437607,0.0
54,10.843373493975903,0.9489089978770665,0.0
55,11.04417670682731,1.0638098314791444,0.0
56,11.244979919678714,1.1198920344199965,0.0
57,11.44578313253012,1.1416592919741846,0.0
58,11.646586345381525,1.1858175509148658,0.0
59,11.847389558232932,1.2176230660508431,0.0
60,12.048192771084338,1.2547193795836853,0.0
61,12.248995983935743,1.2333244047494498,0.0
62,12.449799196787149,1.2452745473009026,0.0
63,12.650602409638553,1.1990146259238244,0.0
64,12.85140562248996,1.0576892747014903,0.0
65,13.052208835341366,1.0929009733838366,0.0
66,13.25301204819277,1.0686017240431236,0.0
67,13.453815261044177,1.0443142567242072,0.0
68,13.654618473895582,1.0337787993673695,0.0
69,13.855421686746988,1.0535713140568792,0.0
70,14.056224899598394,1.0214634691157227,0.0
71,14.257028112449799,1.112132192545872,0.0
72,14.457831325301205,1.1990922974440772,0.0
73,14.65863453815261,1.131977071625252,0.0
74,14.859437751004016,1.199420316482073,0.0
75,15.060240963855422,1.209149995225528,0.0
76,15.261044176706827,1.224216334426359,0.0
77,15.461847389558233,1.1556871346868318,0.0
78,15.662650602409638,1.1030085889182855,0.0
79,15.863453815261044,1.1271740517476905,0.0
80,16.06425702811245,1.08904699190898,0.0
81,16.265060240963855,1.0665143872676186,0.0
82,16.46586345381526,1.020108591811791,0.0
83,16.666666666666668,1.0760460851549158,0.0
84,16.867469879518072,1.1477281286202943,0.0
85,17.068273092369477,1.1117786024042304,0.0
86,17.269076305220885,1.0762003259593858,0.0
87,17.46987951807229,1.1300746553901733,0.0
88,17.670682730923694,1.171489965198717,0.0
89,17.8714859437751,1.1424316934174208,0.0
90,18.072289156626507,1.2058870135397537,0.0
91,18.27309236947791,1.1817688671226945,0.0
92,18.473895582329316,1.112664546653578,0.0
93,18.674698795180724,1.070356238239624,0.0
94,18.87550200803213,1.0900121070103683,0.0
95,19.076305220883533,1.097819136263436,0.0
96,19.277108433734938,1.0873829669293202,0.0
97,19.477911646586346,1.0856903310644002,0.0
98,19.67871485943775,1.1098377176317278,0.0
99,19.879518072289155,1.122097282736403,0.0
100,20.080321285140563,1.1386637224736165,0.0
101,20.281124497991968,1.2476397661409244,0.0
102,20.481927710843372,1.1779757612444917,0.0
103,20.68273092369478,1.136891344647547,0.0
104,20.883534136546185,1.1383749389039712,0.0
105,21.08433734939759,1.0975894215956403,0.0
106,21.285140562248994,1.0269273860401267,0.0
107,21.485943775100402,1.0034138388058107,0.0
108,21.686746987951807,0.9904284069731715,0.0
109,21.88755020080321,0.9589409414546564,0.0
110,22.08835341365462,0.9636965804031712,0.0
111,22.289156626506024,1.1049825805268694,0.0
112,22.48995983935743,1.1168294695501926,0.0
113,22.690763052208837,1.1361979273213927,0.0
114,22.89156626506024,1.137418137143005,0.0
115,23.092369477911646,1.133937961800066,0.0
116,23.29317269076305,1.085794680013421,0.0
117,23.49397590361446,1.1032967927463058,0.0
118,23.694779116465863,1.0792589557647603,0.0
119,23.895582329317268,1.0209401696089881,0.0
