,z,free_energy_gauss,free_energy_gauss_surf,free_energy_probability,free_energy_probability_surf
114,14.27878787878788,2.3375885315358933,2.3375885315358933,2.311845171390905,2.311845171390905
115,14.404040404040405,2.3399370236957218,2.3399370236957218,2.3143760597663596,2.3143760597663596
116,14.529292929292929,2.342566876522808,2.342566876522808,2.3173569581695053,2.3173569581695053
117,14.654545454545454,2.345464067561995,2.345464067561995,2.320317736853876,2.320317736853876
118,14.77979797979798,2.3485048400227337,2.3485048400227337,2.32335290285083,2.32335290285083
119,14.905050505050506,2.3517297518790805,2.3517297518790805,2.3265568012455926,2.3265568012455926
120,15.030303030303031,2.354181386945794,2.354181386945794,2.328824202647345,2.328824202647345
121,15.155555555555555,2.35473698758715,2.35473698758715,2.329280460343147,2.329280460343147
122,15.28080808080808,2.354751512571261,2.354751512571261,2.3291315829310473,2.3291315829310473
123,15.406060606060606,2.3532605816537964,2.3532605816537964,2.3277442148481593,2.3277442148481593
124,15.531313131313132,2.3505764185580547,2.3505764185580547,2.3250321533802842,2.3250321533802842
125,15.656565656565657,2.347402006898103,2.347402006898103,2.322134813207944,2.322134813207944
126,15.781818181818181,2.344451159295568,2.344451159295568,2.3196137746125305,2.3196137746125305
127,15.907070707070707,2.3418186302078663,2.3418186302078663,2.317061270367483,2.317061270367483
128,16.032323232323233,2.339552531899587,2.339552531899587,2.3148122955488444,2.3148122955488444
129,16.157575757575756,2.3380105674573657,2.3380105674573657,2.3131812221329024,2.3131812221329024
130,16.282828282828284,2.336706835614012,2.336706835614012,2.3117572086605946,2.3117572086605946
131,16.408080808080808,2.335905680063797,2.335905680063797,2.3108320894185166,2.3108320894185166
132,16.533333333333335,2.3357330785933548,2.3357330785933548,2.3107625434179,2.3107625434179
133,16.65858585858586,2.336075518021604,2.336075518021604,2.3115974981614524,2.3115974981614524
134,16.783838383838383,2.337004823769355,2.337004823769355,2.312991085630797,2.312991085630797
135,16.90909090909091,2.33868808402109,2.33868808402109,2.314930200465001,2.314930200465001
136,17.034343434343434,2.3407125662738393,2.3407125662738393,2.3168213030855846,2.3168213030855846
137,17.15959595959596,2.343226635633613,2.343226635633613,2.319148248294804,2.319148248294804
138,17.284848484848485,2.3460911813187044,2.3460911813187044,2.321777475078222,2.321777475078222
139,17.41010101010101,2.3488170350394126,2.3488170350394126,2.3242513705201104,2.3242513705201104
140,17.535353535353536,2.3507726949821808,2.3507726949821808,2.326307652432156,2.326307652432156
141,17.66060606060606,2.352621829417003,2.352621829417003,2.3284008880051217,2.3284008880051217
142,17.785858585858588,2.354696030597809,2.354696030597809,2.3309024004613685,2.3309024004613685
143,17.91111111111111,2.356708140273226,2.356708140273226,2.3333432558718794,2.3333432558718794
144,18.036363636363635,2.358684797683397,2.358684797683397,2.335965202425945,2.335965202425945
145,18.161616161616163,2.360185672243371,2.360185672243371,2.3382496730001305,2.3382496730001305
146,18.286868686868686,2.3624039253541835,2.3624039253541835,2.341392585964647,2.341392585964647
147,18.412121212121214,2.3651685298475793,2.3651685298475793,2.345096987411761,2.345096987411761
148,18.537373737373738,2.3670724939810013,2.3670724939810013,2.3476308893996825,2.3476308893996825
149,18.66262626262626,2.3680420101203405,2.3680420101203405,2.3485665774490627,2.3485665774490627
150,18.78787878787879,2.36704097360793,2.36704097360793,2.347189353309597,2.347189353309597
151,18.913131313131313,2.3649033815520046,2.3649033815520046,2.3444316503645815,2.3444316503645815
152,19.03838383838384,2.3606558821058887,2.3606558821058887,2.3394375130902323,2.3394375130902323
153,19.163636363636364,2.355470950567217,2.355470950567217,2.333571827802714,2.333571827802714
154,19.288888888888888,2.3483177989068222,2.3483177989068222,2.32532300941272,2.32532300941272
155,19.414141414141415,2.3401794764772523,2.3401794764772523,2.315717943595962,2.315717943595962
156,19.53939393939394,2.3321048556391797,2.3321048556391797,2.3062563176755595,2.3062563176755595
157,19.664646464646466,2.323757116338569,2.323757116338569,2.2964089999411983,2.2964089999411983
158,19.78989898989899,2.314468127127552,2.314468127127552,2.2855328386745715,2.2855328386745715
159,19.915151515151514,2.3050606159619376,2.3050606159619376,2.274469781269997,2.274469781269997
160,20.04040404040404,2.295142278784265,2.295142278784265,2.263134137920845,2.263134137920845
161,20.165656565656565,2.2852540137330726,2.2852540137330726,2.2519462689933594,2.2519462689933594
162,20.290909090909093,2.2749440362942646,2.2749440362942646,2.240155190708914,2.240155190708914
163,20.416161616161617,2.2642999328141733,2.2642999328141733,2.2279438797785422,2.2279438797785422
164,20.54141414141414,2.2537847148204717,2.2537847148204717,2.2155200495510496,2.2155200495510496
165,20.666666666666668,2.2436311252287537,2.2436311252287537,2.2033539644259204,2.2033539644259204
166,20.79191919191919,2.2338703998676475,2.2338703998676475,2.191811690086981,2.191811690086981
167,20.91717171717172,2.2249807376336634,2.2249807376336634,2.1812235437175906,2.1812235437175906
168,21.042424242424243,2.2165609273982847,2.2165609273982847,2.1711236681122803,2.1711236681122803
169,21.167676767676767,2.2086849262320665,2.2086849262320665,2.1619718633331173,2.1619718633331173
170,21.292929292929294,2.2003905410949396,2.2003905410949396,2.1526687553072272,2.1526687553072272
171,21.418181818181818,2.19234336556217,2.19234336556217,2.1436257100005274,2.1436257100005274
172,21.543434343434345,2.184046551642303,2.184046551642303,2.134197058462095,2.134197058462095
173,21.66868686868687,2.1750918587476176,2.1750918587476176,2.1240408501378543,2.1240408501378543
174,21.793939393939393,2.1644733688943427,2.1644733688943427,2.112064703197058,2.112064703197058
175,21.91919191919192,2.1524378619752014,2.1524378619752014,2.098330271817006,2.098330271817006
176,22.044444444444444,2.1386542167829288,2.1386542167829288,2.0824743160934327,2.0824743160934327
177,22.16969696969697,2.122893748453474,2.122893748453474,2.064549145078636,2.064549145078636
178,22.294949494949496,2.1051178635563836,2.1051178635563836,2.0446835119034765,2.0446835119034765
179,22.42020202020202,2.0845510940794965,2.0845510940794965,2.0219512613159565,2.0219512613159565
180,22.545454545454547,2.060224258880266,2.060224258880266,1.9950469352936502,1.9950469352936502
181,22.67070707070707,2.0316906250794,2.0316906250794,1.9636047298511288,1.9636047298511288
182,22.795959595959598,1.9985386230093656,1.9985386230093656,1.9270189529810717,1.9270189529810717
183,22.921212121212122,1.9615485773198431,1.9615485773198431,1.88613975765226,1.88613975765226
184,23.046464646464646,1.92111910340022,1.92111910340022,1.8415574079949193,1.8415574079949193
