,z,free_energy_gauss,free_energy_gauss_surf,free_energy_probability,free_energy_probability_surf
0,0.0,,8.684975773143947,-0.0,18.477879329485422
1,0.12525252525252525,,8.684975773143947,-0.0,18.477879329485422
2,0.2505050505050505,-9.013148312097982,8.677366036180851,2.3610162741666112e-09,18.477879329485422
3,0.37575757575757573,-6.722368151923491,8.677366251671982,2.3059261494370072e-07,18.477879329485422
4,0.501010101010101,-5.544976944179482,8.261333370706643,2.4294886860169682e-06,17.93426388289644
5,0.6262626262626263,-4.3555429281537075,7.945783976392834,2.6221003381056193e-05,17.93426388289644
6,0.7515151515151515,-3.2577834368395053,8.486155027108113,0.00023561153096846211,17.46627841780694
7,0.8767676767676768,-2.355276108998249,9.279680278138192,0.0014333890074420292,17.156123489503102
8,1.002020202020202,-1.6301939916923551,11.223508840956026,0.006125943806957388,9.159487066852455
9,1.1272727272727272,-1.0580945755184192,9.56681991943617,0.019359135179042235,4.888921704566724
10,1.2525252525252526,-0.6134411037665094,5.065828029559442,0.047732367167962746,3.3780167238484644
11,1.3777777777777778,-0.27497863584716253,2.8696949706225086,0.09584308561786607,2.6335482283405702
12,1.503030303030303,-0.013886667332067101,1.7987900811884716,0.16553553594919912,1.7477292774908035
13,1.6282828282828283,0.19240772918597898,1.1430319089674177,0.2556283012436209,0.9876667410362799
14,1.7535353535353535,0.3651004777145963,0.3809341093813416,0.3648201187756249,0.3706642469828684
15,1.878787878787879,0.5210756885836367,0.5210756885836367,0.4914100330117913,0.4914100330117913
16,2.004040404040404,0.6735109519510168,0.6735109519510168,0.6326838982709699,0.6326838982709699
17,2.1292929292929292,0.8303484991832213,0.8303484991832213,0.7841436013083396,0.7841436013083396
18,2.2545454545454544,0.9934718986685454,0.9934718986685454,0.9406485194049814,0.9406485194049814
19,2.37979797979798,1.1586487692163105,1.1586487692163105,1.0963901226281567,1.0963901226281567
20,2.505050505050505,1.3195374400295934,1.3195374400295934,1.2465059312532776,1.2465059312532776
21,2.6303030303030304,1.4687819759148453,1.4687819759148453,1.3857148004423345,1.3857148004423345
