# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
52.0000000000   119742.0074538621   10172.3195877272   121148.3806213170   12746.0750997670   120445.1940375896   11531.2296881937   16.7648448077   1.1849950139   16.8417975491   1.1479772710   16.8033211784   1.1666329752
53.0000000000   120578.3491924974   10451.8432566266   121879.5920030808   13024.4518692509   121228.9705977891   11808.4159385483   16.8815185404   1.2221965855   16.9424016088   1.1831100028   16.9119600746   1.2028120744
54.0000000000   121386.4749509871   10729.2294962260   122593.6599238424   13303.8436723127   121990.0674374147   12085.2931706272   16.9942511029   1.2592470937   17.0405858287   1.2182063741   17.0174184658   1.2388966892
55.0000000000   122160.7254648972   11009.7971842426   123287.9671601525   13582.5259079580   122724.3463125249   12363.2650234173   17.1022398850   1.2969059866   17.1360186565   1.2532565857   17.1191292708   1.2752680517
56.0000000000   122896.6194810124   11298.7377348896   123955.4131447118   13860.0686881755   123426.0163128621   12644.4252230530   17.2048429944   1.3358656696   17.2277254628   1.2883647961   17.2162842286   1.3123301671
57.0000000000   123594.6374920237   11598.3912546448   124589.4017442444   14135.5634175787   124092.0196181340   12929.3625679731   17.3021201786   1.3764126552   17.3147883728   1.3234612006   17.3084542757   1.3501965314
58.0000000000   124262.1017152464   11907.0503132916   125189.4141104664   14407.7651672038   124725.7579128564   13216.6853688160   17.3950965670   1.4182434696   17.3971410042   1.3583970432   17.3961187856   1.3886426945
59.0000000000   124906.0919664942   12220.2539080741   125759.7290213820   14677.3971317196   125332.9104939381   13504.8249181544   17.4847701754   1.4606951700   17.4753771860   1.3932612155   17.4800736807   1.4273764735
60.0000000000   125528.1475425316   12533.7085884860   126303.2090258061   14945.9127657317   125915.6782841689   13792.6458553453   17.5713689134   1.5032127956   17.5498827055   1.4281725513   17.5606258095   1.4661728318
61.0000000000   126127.7071331802   12843.0365362082   126819.0054664725   15214.9037285388   126473.3562998264   14079.0071194506   17.6548307259   1.5452675450   17.6205242593   1.4632707712   17.6376774926   1.5048277535
62.0000000000   126707.7967572711   13145.9508136163   127308.7291025540   15486.2500180494   127008.2629299125   14363.8428426301   17.7355912981   1.5865949487   17.6875180442   1.4987869777   17.7115546711   1.5433155762
63.0000000000   127274.2609196574   13441.1144729388   127778.7242299484   15760.3486668660   127526.4925748029   14646.7086469253   17.8144745642   1.6270097720   17.7517519009   1.5347428603   17.7831132325   1.5815493108
64.0000000000   127830.8661453416   13731.1777902306   128237.1567689355   16036.4677021957   128034.0114571385   14928.3880554882   17.8919986013   1.6668339273   17.8143694555   1.5709925517   17.8531840284   1.6196223231
65.0000000000   128378.2952297245   14020.3929390567   128688.3769034695   16312.2255407551   128533.3360665970   15209.5384587767   17.9682469193   1.7066283525   17.8759836969   1.6071591019   17.9221153081   1.6576399960
66.0000000000   128915.9702436918   14311.5453661093   129131.5278388717   16584.1982540949   129023.7490412818   15489.6088152239   18.0431286293   1.7467374209   17.9364738913   1.6426846015   17.9898012603   1.6955094098
67.0000000000   129444.6017324884   14606.0633322543   129564.4271483185   16851.8353863886   129504.5144404034   15768.9797063057   18.1167330385   1.7872871044   17.9955071692   1.6773262658   18.0561201038   1.7331789572
68.0000000000   129964.9340592354   14905.0025590104   129983.4007982778   17112.1246655150   129974.1674287566   16046.5558898512   18.1891573987   1.8283792220   18.0525790091   1.7106329411   18.1208682039   1.7704851932
69.0000000000   130475.1305045156   15207.7122267799   130382.2373148674   17359.5514091030   130428.6839096915   16319.1380945478   18.2601476094   1.8699495210   18.1068877836   1.7420908172   18.1835176965   1.8071512978
70.0000000000   130976.9799537396   15511.2855948878   130757.1439341373   17591.1965648892   130867.0619439384   16583.8803871522   18.3299602429   1.9116086317   18.1579612371   1.7715440329   18.2439607400   1.8429074612
71.0000000000   131475.1470706756   15813.5418396600   131110.6508655296   17809.3273256754   131292.8989681026   16841.0249882204   18.3992518178   1.9530515237   18.2061547254   1.7993631146   18.3027032716   1.8777803216
72.0000000000   131972.6662386174   16114.5987106951   131452.3841568021   18021.1809521664   131712.5251977097   17094.4911377534   18.4684508730   1.9943258441   18.2527644736   1.8264757821   18.3606076733   1.9122433625
73.0000000000   132470.1430391103   16415.6994839521   131793.7611080882   18235.7979965700   132131.9520735993   17349.6328220388   18.5376535903   2.0357035042   18.2993199103   1.8540301034   18.4184867503   1.9469869518
74.0000000000   132965.7470688958   16717.5743049350   132140.9143520066   18460.4627708861   132553.3307104512   17610.5930671896   18.6066073469   2.0773181745   18.3466309014   1.8829991044   18.4766191241   1.9825408477
75.0000000000   133457.7754230934   17018.7686443977   132496.4458217254   18695.8479293694   132977.1106224094   17876.9854277733   18.6750756337   2.1189497273   18.3950559271   1.9134624022   18.5350657804   2.0188222199
76.0000000000   133946.3776765777   17320.5856430857   132860.8137925761   18938.3021933450   133403.5957345769   18147.4788467424   18.7430662499   2.1606830606   18.4446827446   1.9449259788   18.5938744973   2.0556371702
77.0000000000   134436.0546592293   17625.6789258980   133228.9123814866   19184.5285007915   133832.4835203579   18421.5999766107   18.8111867061   2.2027405625   18.4948121259   1.9769081575   18.6529994160   2.0928726489
78.0000000000   134931.9516482989   17933.9465709080   133595.5881686519   19432.5875975677   134263.7699084754   18698.2873593456   18.8801441386   2.2450073193   18.5447237987   2.0090913013   18.7124339687   2.1303175492
79.0000000000   135433.0783955774   18241.2621149068   133960.6698848066   19680.0931810009   134696.8741401921   18974.3209517181   18.9498014084   2.2868913441   18.5944128457   2.0412020156   18.7721071270   2.1675305866
80.0000000000   135934.8986302520   18542.2790198758   134328.7808525212   19925.8465820553   135131.8397413866   19246.4993344573   19.0195410828   2.3277380170   18.6445451468   2.0731598380   18.8320431148   2.2041274906
81.0000000000   136435.1966007679   18832.4843448084   134707.0903708589   20170.9201392613   135571.1434858134   19513.1812611618   19.0890776653   2.3670505502   18.6961169342   2.1050979093   18.8925972998   2.2399068636
82.0000000000   136931.9867958669   19108.6337403484   135102.2545954936   20418.7490858581   136017.1206956803   19774.5442128765   19.1581506056   2.4044695122   18.7500185309   2.1373494380   18.9540845682   2.2748336483
83.0000000000   137424.5371456663   19372.4522898996   135522.3589806070   20671.9322312218   136473.4480631366   20032.7318393756   19.2266588450   2.4402725358   18.8073332854   2.1700774798   19.0169960652   2.3091303901
84.0000000000   137913.7535666880   19628.6859978621   135974.4944419394   20929.3062449912   136944.1240043137   20289.4205671243   19.2947278821   2.4751637491   18.8690535892   2.2030890929   19.0818907357   2.3430788651
85.0000000000   138402.1018456391   19882.3436672106   136460.2902947204   21184.5687967393   137431.1960701798   20543.7769750946   19.3627023151   2.5098754656   18.9354569314   2.2356139241   19.1490796233   2.3767040698
86.0000000000   138895.7391317618   20136.8008264559   136979.8291136348   21430.8005220802   137937.7841226983   20793.8687903616   19.4314423906   2.5448719584   19.0066166778   2.2668383761   19.2190295342   2.4098682026
87.0000000000   139400.2035303824   20392.1922694087   137528.7954631084   21666.0023406667   138464.4994967454   21038.7400166729   19.5017232534   2.5801440434   19.0819597132   2.2965835754   19.2918414833   2.4424822828
88.0000000000   139920.5752265016   20646.2976077333   138099.0487893196   21892.2459651645   139009.8120079106   21278.3932465113   19.5742503984   2.6153054973   19.1603510312   2.3251967371   19.3673007148   2.4745062851
89.0000000000   140461.4277623053   20896.1692452334   138683.7749428709   22112.9704941220   139572.6013525881   21513.1744891281   19.6496587833   2.6498733529   19.2408295003   2.3531842150   19.4452441418   2.5059234562
90.0000000000   141025.7480192134   21137.7404239412   139283.3401894494   22329.5343096145   140154.5441043314   21741.8050390736   19.7283706076   2.6832661497   19.3234376486   2.3807083816   19.5259041281   2.5365024767
91.0000000000   141611.8462257076   21368.8247356554   139907.9410253307   22541.7796877490   140759.8936255192   21963.1339074615   19.8101508354   2.7151841951   19.4095922159   2.4076735232   19.6098715257   2.5660394588
92.0000000000   142216.6768710237   21589.6049900505   140566.4070105802   22748.4274059071   141391.5419408020   22176.5866745565   19.8945640523   2.7456166881   19.5005219932   2.4338219110   19.6975430227   2.5944074557
93.0000000000   142837.5239416897   21803.6873445408   141260.6674762877   22946.1547862164   142049.0957089887   22382.2117013879   19.9812110525   2.7749987739   19.5965070846   2.4586570414   19.7888590685   2.6216037689
94.0000000000   143471.3630790372   22015.3047752825   141982.7593414224   23133.1497964365   142727.0612102298   22581.1454963311   20.0696545599   2.8038827337   19.6964465588   2.4819567069   19.8830505593   2.6478167874
95.0000000000   144117.3237010048   22226.1274244351   142724.6840621158   23310.7574263396   143421.0038815603   22774.9001323483   20.1597767958   2.8325346043   19.7992210098   2.5039504869   19.9794989028   2.6732957492
96.0000000000   144774.9809540477   22437.0578835528   143484.3507227785   23481.3181541453   144129.6658384131   22965.1243054125   20.2515256566   2.8611340612   19.9045291649   2.5250003496   20.0780274108   2.6983064023
