# Step_number	  Lambda_X	St_error_X	  Lambda_Y	St_error_Y	Lambda_mean	St_error_mean	     Tau_X	St_error_X	     Tau_Y	St_error_Y	  Tau_mean	St_error_mean
28.0000000000   89910.9403994870   9298.3793295430   95382.3169133061   14224.9337818019   92646.6286563966   12016.8340101027   11.9061884392   0.8154059261   13.1830031410   1.0611509182   12.5445957901   0.9462896215
29.0000000000   91438.9239800153   9653.2889446717   97275.5794592938   14782.1112703760   94357.2517196546   12483.9256858389   12.1078019511   0.8546226360   13.4425972102   1.1203199684   12.7751995807   0.9963675731
30.0000000000   92900.4918299362   10011.8974616591   99090.0896591664   15358.3082383003   95995.2907445513   12963.7132551870   12.3005670553   0.8945263540   13.6910751159   1.1829275222   12.9958210856   1.0486884477
31.0000000000   94292.6861264946   10351.9153755511   100834.3978973839   15960.1279629681   97563.5420119392   13451.5396244610   12.4841700878   0.9322520234   13.9295781617   1.2497619729   13.2068741248   1.1024968989
32.0000000000   95612.8127059726   10658.5673077240   102520.3002730197   16593.8030945735   99066.5564894961   13945.5971222956   12.6583124065   0.9659508480   14.1597038511   1.3216727059   13.4090081288   1.1575577269
33.0000000000   96864.9758910732   10929.1494645751   104159.3256838490   17262.4233847570   100512.1507874611   14447.1029818027   12.8235543780   0.9952895200   14.3830358801   1.3990869460   13.6032951290   1.2140933883
34.0000000000   98052.1364821269   11170.2130367880   105758.8962892646   17958.2353408320   101905.5163856957   14954.4621408450   12.9802688278   1.0211231591   14.6006660677   1.4807034784   13.7904674477   1.2718441919
35.0000000000   99176.4333232834   11395.7662272612   107318.4089376598   18662.2338048498   103247.4211304716   15461.9283805945   13.1286880286   1.0452673239   14.8126533656   1.5636927149   13.9706706971   1.3299847152
36.0000000000   100239.3513262729   11615.4991727023   108835.8249198015   19353.7662223557   104537.5881230372   15960.7031176675   13.2689753987   1.0690040363   15.0188701524   1.6451112040   14.1439227755   1.3872924174
37.0000000000   101245.5000362512   11831.9497125121   110310.6103728652   20026.9666039092   105778.0552045582   16448.0154631723   13.4017391735   1.0926779783   15.2192875179   1.7241594768   14.3105133457   1.4433764349
38.0000000000   102208.4101965701   12040.1164948443   111749.0455736981   20688.3235623684   106978.7278851341   16925.8845711335   13.5288012980   1.1155784045   15.4147329925   1.8017075899   14.4717671453   1.4984434284
39.0000000000   103139.2665525180   12227.0959393116   113160.8970904450   21346.3520523210   108150.0818214815   17394.9507192570   13.6516958255   1.1359168264   15.6065046072   1.8788899179   14.6291002164   1.5525035201
