,z,free_energy_gauss,free_energy_gauss_surf,free_energy_probability,free_energy_probability_surf
0,0.0,-2.143967542892649,10.078498453417186,0.0021880539222059506,14.238044953798706
1,0.12519561815336464,-1.4642432604370252,9.537659045784125,0.008547301408226437,13.55997688006588
2,0.25039123630672927,-0.93468631430584,8.50113604574033,0.024843049759543927,12.566367078256029
3,0.3755868544600939,-0.5068355160581532,6.566226714834549,0.059369822783849543,11.77456810477602
4,0.5007824726134585,-0.1630616450504079,5.156432897572049,0.12086654920847408,11.451271596566968
5,0.6259780907668232,0.11688447268760893,4.3246500264778085,0.21680210073910341,11.339318173832737
6,0.7511737089201878,0.35618032546082695,3.918089298491263,0.35199912461647237,11.245651581510229
7,0.8763693270735524,0.581501871965703,4.300738895539229,0.5287226356696574,11.307377416906899
8,1.001564945226917,0.8179443772043599,4.583436845053232,0.7468597567927036,11.435138190500313
9,1.1267605633802817,1.081211417271338,4.761168913161147,1.0040761388747184,11.660718299628615
10,1.2519561815336464,1.373118412765911,5.051003324400775,1.295375017466941,11.867356273502592
11,1.377151799687011,1.685675668750731,5.340109763691162,1.6143799136832286,12.120724519788409
12,1.5023474178403755,2.0104305513455434,5.740282649035496,1.956714802232759,12.37033276214864
13,1.6275430359937402,2.335691376029793,6.1284051267261495,2.312892423621838,12.524553501877142
14,1.7527386541471048,2.6568694478093193,6.5622593803784355,2.6782327871843643,9.272378562770104
15,1.8779342723004695,2.9726757739315204,6.745560022382217,3.0507478382556426,6.560362875472227
16,2.003129890453834,3.278505502666715,5.261484065817205,3.4229960666705304,4.96895638926679
17,2.128325508607199,3.5708584905696688,4.395724951922718,3.788348677597169,4.678185369650018
18,2.2535211267605635,3.8499994385606944,3.8607007005514653,4.1499212915538966,4.597841135932316
19,2.378716744913928,4.111516034617656,3.7058612990237907,4.506744041290301,4.665029295048727
20,2.503912363067293,4.349561994282474,4.338070926061991,4.854146939770338,4.85503478254536
21,2.6291079812206575,4.558949258190673,4.558949258190673,5.188921917784408,5.188921917784408
22,2.754303599374022,4.734591647966419,4.734591647966419,5.50618375512435,5.50618375512435
23,2.879499217527387,4.877636520888321,4.877636520888321,5.810727646320792,5.810727646320792
24,3.004694835680751,4.987544033110599,4.987544033110599,6.098584581753187,6.098584581753187
25,3.1298904538341157,5.074054746952324,5.074054746952324,6.3636721562893515,6.3636721562893515
26,3.2550860719874803,5.150307659088785,5.150307659088785,6.5994398087056,6.5994398087056
27,3.380281690140845,5.223601563627404,5.223601563627404,6.8083699009770635,6.8083699009770635
28,3.5054773082942097,5.3020394991904185,5.3020394991904185,6.971938992854257,6.971938992854257
29,3.6306729264475743,5.384109861564092,5.384109861564092,7.089751622173606,7.089751622173606
30,3.755868544600939,5.467963316972924,5.467963316972924,7.174669521259019,7.174669521259019
31,3.8810641627543037,5.542171642488229,5.542171642488229,7.198102041775546,7.198102041775546
32,4.006259780907668,5.589294354313089,5.589294354313089,7.0936828754079375,7.0936828754079375
33,4.131455399061033,5.645569657154129,5.645569657154129,7.099918969077901,7.099918969077901
34,4.256651017214398,5.67059411621438,5.67059411621438,6.99897551902874,6.99897551902874
35,4.381846635367762,5.676972149236193,5.676972149236193,6.8650183135444856,6.8650183135444856
36,4.507042253521127,5.662644440290377,5.662644440290377,6.702435222639485,6.702435222639485
37,4.632237871674492,5.623370424188826,5.623370424188826,6.508524940502103,6.508524940502103
38,4.757433489827856,5.549991902247439,5.549991902247439,6.299961082531735,6.299961082531735
39,4.882629107981221,5.430068187941982,5.430068187941982,6.093654508061604,6.093654508061604
40,5.007824726134586,5.258941260217918,5.258941260217918,5.90912076614729,5.90912076614729
41,5.13302034428795,5.064180316782082,5.064180316782082,5.776863654857746,5.776863654857746
42,5.258215962441315,4.88920483522606,4.88920483522606,5.706387890726775,5.706387890726775
43,5.38341158059468,4.773723930754053,4.773723930754053,5.694736965955409,5.694736965955409
44,5.508607198748044,4.7318015077188695,4.7318015077188695,5.724304245963339,5.724304245963339
45,5.633802816901409,4.760500887792431,4.760500887792431,5.79970739712817,5.79970739712817
46,5.758998435054774,4.831304779529164,4.831304779529164,5.895370372116465,5.895370372116465
47,5.884194053208138,4.916551037725834,4.916551037725834,6.0015577707357215,6.0015577707357215
48,6.009389671361502,5.002195069185799,5.002195069185799,6.121577506793162,6.121577506793162
49,6.134585289514867,5.081006313221328,5.081006313221328,6.2436186954168615,6.2436186954168615
50,6.259780907668231,5.1540977257430844,5.1540977257430844,6.347234329958311,6.347234329958311
51,6.384976525821596,5.223645454245072,5.223645454245072,6.443590583818378,6.443590583818378
52,6.510172143974961,5.283488589715217,5.283488589715217,6.52910841290563,6.52910841290563
53,6.635367762128325,5.330633426697959,5.330633426697959,6.595961380553913,6.595961380553913
54,6.76056338028169,5.364339749301559,5.364339749301559,6.639239930434074,6.639239930434074
55,6.885758998435055,5.38799321485811,5.38799321485811,6.641479777843425,6.641479777843425
56,7.010954616588419,5.400243344761048,5.400243344761048,6.602064310820634,6.602064310820634
57,7.136150234741784,5.396609378902605,5.396609378902605,6.532175933739955,6.532175933739955
58,7.261345852895149,5.37646297924162,5.37646297924162,6.445246735351013,6.445246735351013
59,7.386541471048513,5.339143192703505,5.339143192703505,6.343274999197405,6.343274999197405
