,z,density
0,0.0,0.0
1,0.12531328320802004,0.0
2,0.2506265664160401,0.0
3,0.37593984962406013,0.0
4,0.5012531328320802,0.0
5,0.6265664160401002,0.0
6,0.7518796992481203,0.0
7,0.8771929824561403,0.0
8,1.0025062656641603,0.0
9,1.1278195488721803,0.0
10,1.2531328320802004,0.0
11,1.3784461152882206,0.0
12,1.5037593984962405,0.0
13,1.6290726817042605,2.2877176473973037e-06
14,1.7543859649122806,4.937657255632514e-05
15,1.8796992481203008,0.0009943946040686948
16,2.0050125313283207,0.0058495033812576225
17,2.1303258145363406,0.018318708418396626
18,2.2556390977443606,0.03482885049196762
19,2.380952380952381,0.053378213881300964
20,2.506265664160401,0.08817882017639388
21,2.631578947368421,0.2227148437055398
22,2.756892230576441,0.6861783425063122
23,2.882205513784461,1.6428108860027564
24,3.007518796992481,2.8038071082461333
25,3.132832080200501,3.5576669749713368
26,3.258145363408521,3.559008257397583
27,3.3834586466165413,2.973092143493522
28,3.508771929824561,2.275087008550639
29,3.634085213032581,1.6914377391400037
30,3.7593984962406015,1.2587647866748406
31,3.8847117794486214,0.9744348107767904
32,4.010025062656641,0.7708728071129656
33,4.135338345864661,0.631774029272866
34,4.260651629072681,0.5342360004712482
35,4.385964912280701,0.46586491227046944
36,4.511278195488721,0.4249097087406688
37,4.636591478696742,0.4098077595767132
38,4.761904761904762,0.42187822912092987
39,4.887218045112782,0.44410995132847064
40,5.012531328320802,0.49616043777536883
41,5.137844611528822,0.5830153843456845
42,5.263157894736842,0.7098891953296351
43,5.3884711779448615,0.9119784521993035
44,5.513784461152882,1.1985783944099784
45,5.639097744360902,1.517915558906244
46,5.764411027568922,1.7812425096969744
47,5.889724310776942,1.9341668098974807
48,6.015037593984962,1.9254930798927552
49,6.140350877192982,1.7701227945757494
50,6.265664160401002,1.5813862308534783
51,6.390977443609022,1.390752655723267
52,6.516290726817042,1.2665558005227096
53,6.641604010025063,1.1505428595455542
54,6.7669172932330826,1.0650960679075308
55,6.8922305764411025,1.0219210933061973
56,7.017543859649122,0.9804414137488042
57,7.142857142857142,0.9450981473238598
58,7.268170426065162,0.92088471508552
59,7.393483709273182,0.8985975579010415
60,7.518796992481203,0.8863603491833095
61,7.644110275689223,0.8704073886862262
62,7.769423558897243,0.8884680353670528
63,7.894736842105263,0.9084069368945842
64,8.020050125313283,0.9534454233489915
65,8.145363408521304,0.9974387955004803
66,8.270676691729323,1.0620751915640445
67,8.395989974937343,1.1268127590279613
68,8.521303258145362,1.1627093398484842
69,8.646616541353383,1.215115594569937
70,8.771929824561402,1.2592266231927287
71,8.897243107769423,1.2855766969030231
72,9.022556390977442,1.3104618107969728
73,9.147869674185463,1.3028034719765882
74,9.273182957393484,1.277394947538358
75,9.398496240601503,1.272932606821286
76,9.523809523809524,1.2466283382642835
77,9.649122807017543,1.1977700614179092
78,9.774436090225564,1.1650619266602935
79,9.899749373433583,1.1135708551893666
80,10.025062656641603,1.0734732759643444
81,10.150375939849624,1.047456539131768
82,10.275689223057643,1.0358910581417375
83,10.401002506265664,0.994605093232221
84,10.526315789473683,0.9889332952035604
85,10.651629072681704,0.9869846518844891
86,10.776942355889723,1.0039893891704006
87,10.902255639097744,1.031637464056961
88,11.027568922305765,1.0448373168990275
89,11.152882205513784,1.0834549152171797
90,11.278195488721805,1.1235018842496782
91,11.403508771929824,1.1696108738311595
92,11.528822055137844,1.1829240513087984
93,11.654135338345863,1.205642902931598
94,11.779448621553884,1.209352588438756
95,11.904761904761903,1.1847437081668315
96,12.030075187969924,1.1666291262350803
97,12.155388471177945,1.1717054727417884
98,12.280701754385964,1.166544427044831
99,12.406015037593985,1.1828487883108023
100,12.531328320802004,1.1546692518387092
101,12.656641604010025,1.1497662261193968
102,12.781954887218044,1.1223596431313472
103,12.907268170426065,1.1043036759830205
104,13.032581453634084,1.0770605500047912
105,13.157894736842104,1.064662394487532
106,13.283208020050125,1.0606839621866975
107,13.408521303258144,1.0605948435178312
108,13.533834586466165,1.0748480319211553
109,13.659147869674184,1.0821382016604693
110,13.784461152882205,1.0950942859694015
111,13.909774436090224,1.0944945887793907
112,14.035087719298245,1.1207255699535594
113,14.160401002506266,1.1317097188533405
114,14.285714285714285,1.1513697363275006
115,14.411027568922306,1.1436054416827117
116,14.536340852130325,1.146256653266498
117,14.661654135338345,1.15834386914598
118,14.786967418546364,1.1593746268858807
119,14.912280701754385,1.1552334836934566
120,15.037593984962406,1.1353186374715962
121,15.162907268170425,1.1330083537667335
122,15.288220551378446,1.1240139673763927
123,15.413533834586465,1.1149243345398843
124,15.538847117794486,1.1012519005856687
125,15.664160401002505,1.0919283410923364
126,15.789473684210526,1.1013532119044669
127,15.914786967418545,1.1094135291937126
128,16.040100250626566,1.1114752035049686
129,16.165413533834585,1.1021973157147318
130,16.290726817042607,1.1068485727356534
131,16.416040100250626,1.1341644879280424
132,16.541353383458645,1.1009731409799008
133,16.666666666666664,1.1112672611294958
134,16.791979949874687,1.1022513349394192
135,16.917293233082706,1.090977950026086
136,17.042606516290725,1.0879752325549041
137,17.167919799498748,1.0916650558084569
138,17.293233082706767,1.119828215240711
139,17.418546365914786,1.137908874798352
140,17.543859649122805,1.1348906529714222
141,17.669172932330827,1.123836745099888
142,17.794486215538846,1.1214924946888207
143,17.919799498746865,1.1334125712711554
144,18.045112781954884,1.1331097191010873
145,18.170426065162907,1.1298959425039203
146,18.295739348370926,1.136320381065999
147,18.421052631578945,1.103115093981486
148,18.546365914786968,1.1013228635217904
149,18.671679197994987,1.083984964265674
