2.65643 422.379
2.85643 57.1737
2.95643 -41.5828
3.05643 -105.658
3.15643 -145.334
3.25643 -167.952
3.35643 -178.747
3.45643 -181.475
3.55643 -178.826
3.65643 -172.711
3.75643 -164.479
3.85643 -155.072
3.95643 -145.13
4.15643 -125.181
4.65643 -81.9398
5.15643 -50.8714
5.65643 -30.8067
6.15643 -19.2092
6.65643 -12.8586
7.15643 -9.26901
7.65643 -7.06771
8.15643 -5.59576
8.65643 -4.54383
9.15643 -3.75996
9.65643 -3.15917
10.1564 -2.68852
10.6564 -2.31389
11.1564 -2.01063
11.6564 -1.76294
16.6564 -0.726275
21.6564 -0.681982
26.6564 -0.796057
31.6564 -0.704011
36.6564 -0.696219
41.6564 -1.55586
