,z,free_energy_gauss,free_energy_gauss_surf,free_energy_probability,free_energy_probability_surf
68,8.518358531317494,2.2886844972865186,2.2886844972865186,2.25968796385921,2.25968796385921
69,8.643628509719221,2.3204623245641,2.3204623245641,2.295281309886081,2.295281309886081
70,8.76889848812095,2.3512971589060396,2.3512971589060396,2.3299709641505264,2.3299709641505264
71,8.894168466522677,2.378939566596364,2.378939566596364,2.361291648256425,2.361291648256425
72,9.019438444924406,2.4020548350112993,2.4020548350112993,2.387579321295769,2.387579321295769
73,9.144708423326133,2.4200147983122022,2.4200147983122022,2.408427347623065,2.408427347623065
74,9.269978401727862,2.4330247194304393,2.4330247194304393,2.424040833279686,2.424040833279686
75,9.395248380129589,2.4407348049716417,2.4407348049716417,2.433609074031842,2.433609074031842
76,9.520518358531316,2.443187822190679,2.443187822190679,2.4370846886920177,2.4370846886920177
77,9.645788336933045,2.4416421800689507,2.4416421800689507,2.4355869149370393,2.4355869149370393
78,9.771058315334772,2.4354366540231713,2.4354366540231713,2.4282652211023006,2.4282652211023006
79,9.8963282937365,2.424910694524978,2.424910694524978,2.4155034677716714,2.4155034677716714
80,10.021598272138228,2.411323618811881,2.411323618811881,2.399138004567444,2.399138004567444
81,10.146868250539956,2.395707658194746,2.395707658194746,2.380160742453237,2.380160742453237
82,10.272138228941683,2.3790894127260036,2.3790894127260036,2.3600401010108873,2.3600401010108873
83,10.397408207343412,2.361622579646637,2.361622579646637,2.339062588570922,2.339062588570922
84,10.52267818574514,2.3443481991391666,2.3443481991391666,2.3189259962974806,2.3189259962974806
85,10.647948164146868,2.329327641999542,2.329327641999542,2.3022242997606295,2.3022242997606295
86,10.773218142548595,2.317381781295949,2.317381781295949,2.2893395819437448,2.2893395819437448
87,10.898488120950322,2.308702166861942,2.308702166861942,2.280196682744852,2.280196682744852
88,11.023758099352051,2.3031162508283742,2.3031162508283742,2.274621126516108,2.274621126516108
89,11.149028077753778,2.3003416331769295,2.3003416331769295,2.2723143131836236,2.2723143131836236
90,11.274298056155507,2.301457884132872,2.301457884132872,2.2739840321462808,2.2739840321462808
91,11.399568034557234,2.305376485077498,2.305376485077498,2.2787109072985285,2.2787109072985285
92,11.524838012958963,2.311272237421029,2.311272237421029,2.285776393464756,2.285776393464756
93,11.65010799136069,2.3183903004036153,2.3183903004036153,2.294193429942197,2.294193429942197
94,11.775377969762419,2.326835294229741,2.326835294229741,2.3038680331305508,2.3038680331305508
95,11.900647948164146,2.3363229350334116,2.3363229350334116,2.31435717278768,2.31435717278768
96,12.025917926565874,2.3460415342534042,2.3460415342534042,2.3247754817398993,2.3247754817398993
97,12.151187904967601,2.3556429135610877,2.3556429135610877,2.334796513251709,2.334796513251709
98,12.276457883369329,2.363594914146315,2.363594914146315,2.3427409560491674,2.3427409560491674
99,12.401727861771057,2.3690636540706405,2.3690636540706405,2.348189920930509,2.348189920930509
100,12.526997840172784,2.372426940669668,2.372426940669668,2.351527994397119,2.351527994397119
101,12.652267818574513,2.37357158901062,2.37357158901062,2.35252951168848,2.35252951168848
102,12.77753779697624,2.3725214416456506,2.3725214416456506,2.351407424202903,2.351407424202903
103,12.902807775377969,2.369160646482769,2.369160646482769,2.3478002715084845,2.3478002715084845
104,13.028077753779696,2.363806909623444,2.363806909623444,2.342150354667141,2.342150354667141
105,13.153347732181425,2.3574503201788,2.3574503201788,2.3354528217720314,2.3354528217720314
106,13.278617710583152,2.350594057493724,2.350594057493724,2.3286127348982992,2.3286127348982992
107,13.403887688984879,2.3440263549971583,2.3440263549971583,2.3221072804232987,2.3221072804232987
108,13.529157667386608,2.338438862467042,2.338438862467042,2.316510429221514,2.316510429221514
109,13.654427645788335,2.334255068976419,2.334255068976419,2.3119339229340388,2.3119339229340388
110,13.779697624190064,2.33085308214554,2.33085308214554,2.308021453279859,2.308021453279859
111,13.90496760259179,2.329250789392434,2.329250789392434,2.305758609407344,2.305758609407344
112,14.03023758099352,2.3288463946430595,2.3288463946430595,2.3047409988681635,2.3047409988681635
113,14.155507559395247,2.329844347564339,2.329844347564339,2.305270218368412,2.305270218368412
114,14.280777537796975,2.3314385823223223,2.3314385823223223,2.30654261680807,2.30654261680807
115,14.406047516198702,2.332628099026395,2.332628099026395,2.3074564219484546,2.3074564219484546
116,14.531317494600431,2.3338875877232605,2.3338875877232605,2.3085547749006934,2.3085547749006934
117,14.656587473002158,2.3348993379556338,2.3348993379556338,2.309427141575235,2.309427141575235
118,14.781857451403885,2.3349565977410838,2.3349565977410838,2.30932274906753,2.30932274906753
119,14.907127429805614,2.3337941251392764,2.3337941251392764,2.308187923096047,2.308187923096047
120,15.032397408207341,2.3324016931794143,2.3324016931794143,2.307069979189076,2.307069979189076
121,15.15766738660907,2.3311456061727838,2.3311456061727838,2.3062678989881813,2.3062678989881813
122,15.282937365010797,2.3306557579992266,2.3306557579992266,2.3061212222517478,2.3061212222517478
123,15.408207343412526,2.3303281004053136,2.3303281004053136,2.305578508237524,2.305578508237524
124,15.533477321814253,2.3307659214191023,2.3307659214191023,2.305750669592871,2.305750669592871
125,15.658747300215982,2.331447140878291,2.331447140878291,2.306296065136697,2.306296065136697
126,15.784017278617709,2.3328579934043066,2.3328579934043066,2.3077837655315934,2.3077837655315934
127,15.909287257019438,2.3344336430957933,2.3344336430957933,2.309304054986388,2.309304054986388
128,16.034557235421165,2.336410783655918,2.336410783655918,2.311015940140771,2.311015940140771
129,16.159827213822894,2.338185275718998,2.338185275718998,2.31264064956214,2.31264064956214
130,16.28509719222462,2.3405735988474357,2.3405735988474357,2.3153041622771493,2.3153041622771493
131,16.410367170626348,2.3428707988108024,2.3428707988108024,2.318002315204222,2.318002315204222
132,16.535637149028076,2.34474263566427,2.34474263566427,2.3203748919870755,2.3203748919870755
133,16.660907127429805,2.345680947018106,2.345680947018106,2.3218311987186815,2.3218311987186815
134,16.78617710583153,2.346020839747432,2.346020839747432,2.3225878426720845,2.3225878426720845
135,16.91144708423326,2.345855924250424,2.345855924250424,2.3229649886103556,2.3229649886103556
136,17.036717062634988,2.3451434573731986,2.3451434573731986,2.3229833862941973,2.3229833862941973
137,17.161987041036717,2.344142484152852,2.344142484152852,2.3223573891535807,2.3223573891535807
138,17.287257019438442,2.3432262478471864,2.3432262478471864,2.32117580413549,2.32117580413549
